iter	Passed	Remaining
252	730	2157
253	732	2150
254	734	2145
255	737	2144
256	739	2137
257	740	2130
258	742	2122
259	743	2115
260	744	2107
261	745	2099
262	746	2091
263	747	2085
264	750	2080
265	752	2075
266	753	2068
267	754	2061
268	756	2056
269	758	2049
270	759	2042
271	760	2034
272	761	2026
273	763	2021
274	765	2016
275	767	2013
276	769	2007
277	770	2000
278	772	1995
279	773	1989
280	774	1982
281	776	1975
282	779	1974
283	784	1977
284	785	1971
285	787	1964
286	788	1959
287	789	1952
288	790	1945
289	792	1941
290	795	1936
291	797	1932
292	798	1927
293	800	1921
294	802	1918
295	804	1912
296	805	1906
297	807	1902
298	810	1900
299	812	1895
300	814	1891
301	815	1885
302	817	1880
303	818	1873
304	820	1870
305	823	1867
306	826	1865
307	827	1860
308	829	1854
309	830	1848
310	831	1842
311	832	1836
312	834	1830
313	837	1830
314	839	1825
315	840	1820
316	841	1813
317	842	1807
318	844	1802
319	845	1796
320	846	1790
321	848	1787
322	850	1782
323	853	1779
324	854	1774
325	855	1769
326	856	1763
327	858	1758
328	859	1752
329	860	1746
330	861	1740
331	863	1738
332	866	1735
333	868	1732
334	869	1726
335	870	1720
336	871	1714
337	872	1709
338	873	1703
339	874	1698
340	875	1692
341	878	1690
342	881	1688
343	882	1683
344	883	1678
345	885	1673
346	886	1668
347	887	1662
348	888	1657
349	889	1651
350	890	1645
351	890	1640
352	893	1638
353	895	1634
354	897	1630
355	898	1625
356	899	1619
357	900	1615
358	901	1610
359	902	1605
360	903	1599
361	904	1594
362	905	1589
363	911	1591
364	912	1587
365	913	1582
366	914	1577
367	915	1572
368	916	1567
369	917	1562
370	918	1557
371	919	1552
372	920	1547
373	925	1549
374	926	1544
375	927	1539
376	929	1535
377	930	1531
378	931	1526
379	932	1521
380	933	1516
381	934	1511
382	935	1506
383	937	1503
384	939	1501
385	941	1497
386	942	1492
387	943	1488
388	944	1483
389	945	1478
390	946	1474
391	947	1469
392	948	1465
393	949	1460
394	950	1455
395	954	1455
396	956	1452
397	957	1448
398	958	1443
399	959	1439
400	960	1435
401	961	1430
402	962	1425
403	963	1421
404	964	1416
405	965	1411
406	965	1407
407	970	1408
408	971	1404
409	973	1400
410	974	1396
411	975	1392
412	976	1387
413	977	1383
414	978	1378
415	978	1374
416	979	1369
417	980	1365
418	985	1366
419	987	1364
420	988	1360
421	989	1355
422	990	1351
423	992	1347
424	993	1344
425	994	1340
426	995	1336
427	997	1332
428	999	1330
429	1001	1327
430	1002	1323
431	1003	1319
432	1004	1315
433	1006	1312
434	1007	1307
435	1007	1303
436	1008	1299
437	1009	1295
438	1010	1291
439	1013	1289
440	1015	1286
441	1016	1283
442	1017	1279
443	1018	1275
444	1019	1271
445	1020	1268
446	1021	1264
447	1022	1260
448	1023	1256
449	1024	1252
450	1026	1249
451	1028	1247
